path	class
src/Armada.Dashboard/src/App.css	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/App.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/api/client.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/Layout.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/LoginFlow.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/MissionHistoryChart.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/SetupWizard.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/askGreetings.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/askThinkingMessages.ts	same blob at both tips; retain
src/Armada.Dashboard/src/components/backlog/backlogUtils.test.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/backlog/backlogUtils.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/backlog/preparationUtils.test.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/backlog/preparationUtils.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/captains/MuxRuntimeFields.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/captains/ProviderCredentialFields.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/coordination/CoordinationChatCard.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/navConfig.test.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/navConfig.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/navIcons.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/planning/PlanningSessionListCard.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/planning/PlanningSessionListCard.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/planning/PlanningStartCard.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/planning/PlanningTranscriptCard.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/planning/PlanningTranscriptCard.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/AutoRefreshSelect.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/BoolIcon.test.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/BoolIcon.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/Button.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/CaptainChatPanel.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/CaptainPicker.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/CaptainPicker.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/CaptainRef.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/CaptainTierBadge.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/ChatMetricsBar.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/ChatMetricsInfo.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/ChatToolChips.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/CommandPalette.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/FallbackTierSelect.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/HealthHistogram.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/LoadingIndicator.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/LogViewer.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/Markdown.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/NotificationBell.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/PageHeader.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/RecordDetailModal.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/ScopeBadge.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/ScopeSelect.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/shared/Tabs.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/Tabs.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/shared/UserScopeFilter.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/vessels/BranchesModal.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/components/vessels/BuildContextModal.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/workspace/WorkspaceDiff.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/components/workspace/WorkspaceTerminal.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/i18n/runtime.ts	same blob at both tips; retain
src/Armada.Dashboard/src/index.css	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/lib/captainCredential.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/lib/chartImage.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/duplicates.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/lib/format.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/routing.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/scoping.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/lib/useAutoRefresh.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/useInboxCount.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/useResourceTable.test.ts	same blob at both tips; retain
src/Armada.Dashboard/src/lib/useResourceTable.ts	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Activity.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ApiExplorer.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/ApiExplorer.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/AskArmada.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/CaptainDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Captains.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/CaptainsHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/CheckRunDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/CheckRuns.test.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/CheckRuns.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/CodeIndex.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Configuration.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Coordination.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Dashboard.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/DeliveryHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/DeploymentDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Deployments.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Dispatch.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/DispatchHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/DockDetail.tsx	direct-tip delta classified; runtime verification pending
